,Unnamed: 0,Unnamed: 1,months,m_etc,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter
0,1월,5,01월01일,251,38,0,0,0,299,6073,,5110,452,5562,2893,149,1021,0,411,4474,299,10,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,1월,6,01월02일,389,83,0,0,2,490,2530,,3790,1051,4841,1880,148,502,0,1000,3530,488,16,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1
2,1월,7,01월03일,350,69,0,0,2,433,2535,,3715,1087,4802,1856,134,435,4,1025,3450,431,12,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,1월,8,01월04일,10,0,0,0,2,12,248,,193,278,471,165,11,2,0,274,452,10,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1
4,1월,9,01월05일,25,0,0,0,4,29,7302,,3779,431,4210,1927,19,1796,0,425,4167,25,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1
5,1월,10,01월06일,27,4,0,0,0,31,216,,199,475,674,107,7,44,2,475,633,31,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1
6,1월,11,01월07일,8,2,0,0,2,12,131,,176,411,587,87,15,29,0,409,540,10,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1
7,1월,12,01월08일,28,9,0,0,0,38,270,,399,472,871,173,53,44,0,469,739,38,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
8,1월,13,01월09일,194,50,0,0,4,250,1327,,1984,1088,3072,975,83,269,1,1054,2381,246,2,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1
9,1월,14,01월10일,330,93,0,0,9,435,2381,,3584,1269,4853,1808,113,460,8,1206,3587,426,3,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1
10,1월,15,01월11일,44,10,0,0,5,59,266,,428,674,1102,208,10,48,0,655,921,54,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1
11,1월,16,01월12일,37,1,0,0,0,40,204,,340,566,906,159,23,22,0,563,767,40,2,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1
12,1월,17,01월13일,20,5,0,0,0,25,120,,204,356,560,86,17,17,0,353,473,25,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1
13,1월,18,01월14일,13,6,0,0,0,19,291,,279,382,661,138,34,54,0,379,605,19,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1
14,1월,19,01월15일,37,4,0,0,0,42,239,,348,573,921,185,23,31,0,561,800,42,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
15,1월,20,01월16일,382,46,0,0,7,443,2010,,3152,1636,4788,1620,116,274,0,1460,3470,436,8,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1
16,1월,21,01월17일,620,79,0,0,10,721,3559,,5519,2105,7624,2935,181,423,5,1857,5396,711,12,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1
17,1월,22,01월18일,74,5,0,0,1,81,492,,708,795,1503,368,57,67,0,770,1262,80,1,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1
18,1월,23,01월19일,135,16,0,0,18,173,986,,1387,1157,2544,824,83,79,0,1105,2091,155,4,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1
19,1월,24,01월20일,14,2,0,0,0,16,110,,203,665,868,67,31,12,1,652,762,16,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1
20,1월,25,01월21일,47,8,0,0,5,63,438,,689,840,1529,295,63,80,0,821,1259,58,3,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1
21,1월,26,01월22일,35,8,0,0,0,45,349,,494,572,1066,192,39,72,0,565,868,45,2,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
22,1월,27,01월23일,275,32,0,0,3,318,1836,,2764,1275,4039,1388,142,248,2,1190,2968,315,8,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1
23,1월,28,01월24일,770,107,0,0,12,903,4297,,6849,1992,8841,3445,256,596,0,1801,6098,891,14,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1
24,1월,29,01월25일,77,20,0,0,0,98,749,,1071,766,1837,435,75,164,1,748,1422,98,1,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1
25,1월,30,01월26일,93,16,0,0,18,132,606,,895,925,1820,426,80,100,1,884,1490,114,5,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1
26,1월,31,01월27일,59,8,0,0,2,74,761,,996,1056,2052,423,76,156,2,1011,1666,72,5,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1
27,1월,32,01월28일,94,13,0,0,4,116,724,,935,985,1920,471,94,89,1,928,1582,112,5,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1
28,1월,33,01월29일,77,11,0,0,2,99,772,,1060,831,1891,479,103,112,4,793,1487,97,9,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
29,1월,34,01월30일,481,57,0,0,4,548,3363,,5205,1787,6992,2737,220,406,12,1593,4956,544,6,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1
30,1월,35,01월31일,659,42,0,0,10,724,3995,,6328,2179,8507,3368,189,438,3,1822,5817,714,13,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1
32,2월,5,02월01일,97,3,0,0,4,107,751,,1109,1145,2254,580,103,68,3,1036,1787,103,3,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1
33,2월,6,02월02일,58,6,0,0,0,68,365,,489,806,1295,227,55,23,4,793,1098,68,4,2.0,0,0,0,0,0,0,1,0,0,0,1,0,1
34,2월,7,02월03일,11,1,0,0,0,13,308,,382,646,1028,125,109,10,0,636,880,13,1,2.0,0,0,1,0,0,0,0,0,0,0,1,0,1
35,2월,8,02월04일,34,1,0,0,2,41,273,,346,707,1053,183,60,9,0,692,944,39,4,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1
36,2월,9,02월05일,16,1,0,0,6,23,285,,401,679,1080,215,53,17,0,653,938,17,0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1
37,2월,10,02월06일,394,40,0,0,5,439,2409,,3642,1749,5391,1963,114,263,1,1589,3929,434,0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,1
38,2월,11,02월07일,916,121,0,0,29,1084,4992,,8064,2392,10456,4190,205,597,6,2007,6999,1055,18,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1
39,2월,12,02월08일,41,5,0,0,0,46,265,,379,649,1028,204,40,21,0,634,899,46,0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1
40,2월,13,02월09일,10,0,0,0,7,17,124,,168,536,704,96,16,12,0,524,648,10,0,2.0,0,0,0,0,0,0,1,0,0,0,1,0,1
41,2월,14,02월10일,9,0,0,0,0,11,75,,96,547,643,63,3,9,0,547,622,11,2,2.0,0,0,1,0,0,0,0,0,0,0,1,0,1
42,2월,15,02월11일,7,1,0,0,0,8,56,,65,251,316,49,3,4,0,250,306,8,0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1
43,2월,16,02월12일,30,2,0,0,1,33,407,,435,488,923,273,30,31,0,476,810,32,0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1
44,2월,17,02월13일,229,19,0,0,6,254,1706,,2526,999,3525,1374,68,264,5,861,2567,248,0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,1
45,2월,18,02월14일,358,58,0,0,4,441,2896,,4379,718,5097,2292,163,441,32,584,3480,437,21,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1
46,2월,19,02월15일,904,132,0,0,6,1075,5875,,9203,2190,11393,4779,270,826,8,1776,7651,1069,33,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1
47,2월,20,02월16일,230,24,0,0,3,263,1543,,2374,985,3359,1232,146,165,5,921,2464,260,6,2.0,0,0,0,0,0,0,1,0,0,0,1,0,1
48,2월,21,02월17일,49,6,0,0,6,62,490,,674,926,1600,336,90,64,0,902,1392,56,1,2.0,0,0,1,0,0,0,0,0,0,0,1,0,1
49,2월,22,02월18일,25,1,0,0,2,30,313,,445,783,1228,229,43,41,0,763,1076,28,2,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1
50,2월,23,02월19일,63,14,0,0,9,88,928,,1107,850,1957,643,94,91,0,821,1649,79,2,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1
